n
"{ubicacion:[zona 1,zona 3],valoracion:Malo,servicio:Si,nombre:PizzaHut,especialidad:Comida Rapida}"
"{ubicacion:[zona 2,zona 3],valoracion:Regular,servicio:No,nombre:GoGreen,especialidad:Ensaladas}"
"{ubicacion:[zona 5,zona 8],valoracion:Malo,servicio:Si,nombre:McDonalds,especialidad:Comida Rapida}"
"{ubicacion:[zona3],valoracion:Bueno,servicio:No,nombre:TacoBell,especialidad:Comida Rapida}"
"{ubicacion:[zona4],valoracion:Excelente,servicio:Si,nombre:BurgerKing,especialidad:Comida Rapida}"
"{ubicacion:[zona4,zona5],valoracion:Excelente,servicio:Si,nombre:LaEstancia,especialidad:Carnes}"
"{ubicacion:[zona4,zona6],valoracion:Bueno,servicio:Si,nombre:PapaJohns,especialidad:Pizzas}"
"{ubicacion:[zona8,zona6],valoracion:Regular,servicio:No,nombre:Saul,especialidad:Postres}"
"{ubicacion:[zona9,zona1],valoracion:Excelente,servicio:Si,nombre:PolloCampero,especialidad:Comida Rapida}"
"{ubicacion:[zona10,zona18],valoracion:Excelente,servicio:Si,nombre:Panda,especialidad:Comida China}"
"{ubicacion:[zona1,zona18],valoracion:Bueno,servicio:Si,nombre:LittleCaesars,especialidad:Comida Rapida}"
